ПМ1;Переходник для косилки (ПМ1);"<div id=""home"" class=""tab-pane fade in active"">
    <p style=""text-align: justify;""><strong>Наименование в прайсе: </strong><em>ПМ1, Перехідник для косарки.</em></p>&#13;
<p style=""text-align: justify;"">Переходник «ПМ1» разработан для обеспечения возможности установки широко распространённой роторной косилки с ременным приводом на мотоблок с двигателем воздушного охлаждения, типа «Zirka – 105».</p>&#13;
<p style=""text-align: justify;"">После установки переходника, косилка присоединяется к передней части мотоблока, это даёт возможность осуществлять покос естественным для мотоблока движением вперёд.</p>&#13;
<p style=""text-align: justify;"">Косилка приводится в движение от вала отбора мощности расположенного на задней части редуктора. На «вом» одевается приводной шкив, вращающий момент с которого передаётся через систему переходных роликов на ведомый шкив привода косилки.</p>&#13;
<p style=""text-align: justify;"">Стальной шкив имеет посадочное место под шпоночный вал диаметром 18 мм.</p>&#13;
<p><strong>Комплектация:</strong></p>&#13;
<ul>&#13;
<li>кронштейн переходных роликов;</li>&#13;
<li>ответный уголок;</li>&#13;
<li>узел поворотных роликов;</li>&#13;
<li>ведущий шкив;</li>&#13;
<li>приводной ремень;</li>&#13;
</ul>&#13;
<p>Вес: 6,2 кг.</p>    </div>"
ПМ2;Роторная косилка для мототрактора (без прицепного) (ПМ2);"<div id=""home"" class=""tab-pane fade in active"">
    <p style=""text-align: justify;""><strong>Наименование в прайсе: </strong><em>Роторна косарка для мототрактора (без причіпного), ПМ2.<br></em></p>&#13;
<p>Роторная косилка разработана для использования с серийными мототракторами типа «Скаут Т-25» и другими аналогичными по конструкции.</p>&#13;
<p><strong>Конструкция роторной косилки</strong></p>&#13;
<p><strong>Роторная косилка состоит из:</strong></p>&#13;
<ul>&#13;
<li>рамы с механизмом привода на основе конических шестерен;</li>&#13;
<li>механизма подъема с узлом натяжения;</li>&#13;
<li>режущих элементов ‒ роторов с ножами (ножи серийно применяемые в роторных косилках).</li>&#13;
</ul>&#13;
<p>Основаниями роторов являются две дисковые выпуклые опоры, благодаря им косилка плывет по поверхности почвы. На краях роторов размещены плоские ножи, на каждом роторе по четыре. В конструкции нижнего опорного диска использовано 2 подшипника – радиальный и упорный.</p>&#13;
<p>Крепление к раме трактора реализовано при помощи рычажного механизма оригинальной конструкции. Рычажная конструкция позволяет решить несколько задач. Основная ‒ реализация плавающего положения в процессе работы.</p>&#13;
<p>Косилку без доработок можно использовать на тракторах с разной высотой расположения рамы, рычажный механизм позволяет регулировать высоту положения косилки.</p>&#13;
<p><strong>Рекомендации по эксплуатации</strong></p>&#13;
<p>Рекомендованная скорость движения ‒ от 5 км/ч. Ширина захвата ‒ 1200 мм. Косилка установлена со смещением вправо относительно оси трактора. Привод от свободного ручья на маховике двигателя.Подъём и опускание осуществляется с помощью гидравлической системы.</p>&#13;
<p>Имеется возможность фиксации в двух положениях – горизонтальном и наклонном (работа в таком положении уменьшает высоту стерни). Расчетная высота стерни от 30 до 60 мм.</p>&#13;
<p><strong>Комплектующие, необходимые для установки косилки на мототрактор</strong></p>&#13;
<p>Мы предлагаем для продажи два варианта системы натяжения, благодаря этому есть возможность устанавливать косилку на различные модели мототракторов без значительных доработок.</p>&#13;
<p>Первая конструкция механизма натяжения основана на использовании промежуточного шкива. В его комплект будет входить ремень В1150. Второй ремень приобретается в зависимости от модели трактора.<br> Второй вариант предполагает применение общего приводного ремня. В такую комплектацию ремень входить не будет. В зависимости от параметров трактора необходимо подбирать длину ремня по месту.</p>&#13;
<p><strong>Наименование прицепных узлов в прайсе</strong></p>&#13;
<ul>&#13;
<li><span style=""text-decoration: underline;""><span style=""color: #0000ff;""><a style=""color: #0000ff; text-decoration: underline;"" href=""/katalog/detali/perekhodnik-dlya-kosilki-detali/pritsepnoe-kosilki-dlya-mototraktora-1-bez-remnya-pmd10"" target=""_blank"" rel=""noopener noreferrer"">Прицепное косилки для мототрактора № 1 (без ремня), ПМд10</a></span></span></li>&#13;
<li><span style=""text-decoration: underline;""><span style=""color: #0000ff;""><a style=""color: #0000ff; text-decoration: underline;"" href=""/katalog/detali/perekhodnik-dlya-kosilki-detali/pritsepnoe-kosilki-dlya-mototraktora-2-promezhutochnyj-shkiv-remen-b1150-pmd11"" target=""_blank"" rel=""noopener noreferrer"">Прицепное косилки для мототрактора № 2 (промежуточный шкив, ремень В1150), ПМд11</a></span></span></li>&#13;
</ul>&#13;
<p><strong>Предостережения и важные конструктивные особенности</strong></p>&#13;
<p><strong>Обратите внимание!</strong> Косилка, прицепные узлы и комплект гидравлики поставляются как отдельные позиции.</p>&#13;
<p><strong>Важно!</strong> На корпусе косилки размещены две пары крепежных кронштейнов. Первая пара необходима для осевой фиксации кронштейна на косилке. Расстояние между проушинами ‒ 160 мм.</p>&#13;
<p>Вторая пара кронштейнов позволяет зафиксировать косилку в нужном угловом положении. Расстояние между проушинами ‒ 200 мм. На проушинах есть регулировочный паз.</p>&#13;
<p><strong>Технические характеристики</strong></p>&#13;
<ul>&#13;
<li>Рекомендованная скорость движения ‒ от 5 км/час</li>&#13;
<li>Ширина захвата ‒ 1200 мм</li>&#13;
<li>Расчетная высота стерни ‒ от 30 до 60 мм</li>&#13;
<li>Вес ‒ 77 кг</li>&#13;
</ul>&#13;
<p> </p>    </div>"
ПМ3;Конический редуктор для мотоблока (ПМ3);"<div id=""home"" class=""tab-pane fade in active"">
    <p style=""text-align: justify;""><strong>Наименование в прайсе: </strong><em>Конічний редуктор для мотоблока, ПМ3.<br></em></p>&#13;
<p>Конический редуктор ПМ3 разработан для использования с мотоблоками типа Zirka-105 и Zirka-135, оснащенных ходоуменьшителем нашего производства (передаточное отношение 2,1). Редуктор ПМ3 позволяет использовать вал отбора мощности мотоблока для привода в действие роторной косилки. Для подключения косилки к мотоблоку используется комплект подключения косилки к редуктору (ПМд9).</p>&#13;
<p>По своему желанию покупатель может использовать изделие в других условиях, в таком случае редуктор снимается с гарантии.</p>&#13;
<p>Присоединительные размеры редуктора и монтажной пластины указаны на эскизах.</p>&#13;
<p>Вес изделия: 8,85 кг.</p>&#13;
<p> </p>&#13;
<p style=""text-align: justify;""> </p>&#13;
<p> </p>    </div>"
ПМд8;Ролик двухпазный (стальной) (ПМд8);"<div id=""home"" class=""tab-pane fade in active"">
    <p><strong>Наименование в прайсе:</strong> <em>Ролик двопазовий (стальний), ПМд8.</em></p>&#13;
<p>Ролик двухпазовый используется при подключении переходника для роторной косилки.</p>&#13;
<p>Диаметр ролика (наружный) – 92 мм.</p>&#13;
<p>Диаметр ролика (внутренний) – 17 мм.</p>&#13;
<p>Установлено два 203-х подшипника.</p>&#13;
<p>Вес – 0,8 кг.</p>    </div>"
ПМд9;Комплект подключения косилки к редуктору (сцепка+шкив) (ПМд9);"<div id=""home"" class=""tab-pane fade in active"">
    <p><strong>Наименование в прайсе:</strong> <em>Комплект підключення косарки до редуктора (зчіпка+шків), ПМд9.</em></p>&#13;
<p>Данный комплект необходим для подключения роторной косилки к коническому редуктору для мотоблока.</p>&#13;
<p>В комплектацию входит специальный стальной шкив и прицепное устройство с талрепом.</p>&#13;
<p>Диаметр шкива (наружный) – 160 мм.</p>&#13;
<p>Диаметр шкива (внутренний) – 25 мм.</p>&#13;
<p>Параметры сцепки: Ø 18,5 мм; L-60 мм.</p>&#13;
<p>Вес – 4 кг.</p>    </div>"
ГР1;Грабли для мотоблока (ГР1);"<div id=""home"" class=""tab-pane fade in active"">
    <p><strong>Наименование в прайсе:</strong><em> Граблі механічні, ГР-1.</em></p>&#13;
<p>Грабли механические могут быть агрегатированы с мотоблоком. Для эксплуатации необходим адаптер. Грабли используют для заготовки сена.</p>&#13;
<p><strong>Особенности конструкции</strong></p>&#13;
<p>Рама изготовлена из стального уголка 63 х 5 х 1480 мм. По всей ширине рамы установлено 18 пружин, диаметр которых 10 мм, а высота 600 мм. Расстояние между пружинами 70 мм. Имеется прицепной узел, регулировочная тяга — талреп и педаль с пружинной тягой, а также дополнительная ручка для подъёма и опускания.</p>&#13;
<p>Крепление осуществляется к стойкам колес адаптера и к поперечной балке при помощи хомутов и болтового соединения.</p>&#13;
<p><strong>Принцип работы</strong></p>&#13;
<p>Грабли приводятся в действие в опущенном положении. Для подъема и опускания необходимо использовать педаль и ручку.</p>&#13;
<p><strong>Стандартная комплектация</strong></p>&#13;
<p>Прицепное устройство, талреп, ручка, пружины — 18 шт., рама — 1шт. Поставляются в разобранном виде.</p>&#13;
<p><strong>Технические параметры</strong></p>&#13;
<p>Вес 43 кг.</p>    </div>"
ГР2;Грабли для мототрактора (ГР2);"<div id=""home"" class=""tab-pane fade in active"">
    <p><strong>Наименование в прайсе:</strong><em> Граблі механічні (до мототрактора), ГР-2.</em></p>&#13;
<p>Грабли механические могут быть агрегатированы с мототрактором. Используются для заготовки сена.</p>&#13;
<p><strong>Особенности конструкции</strong></p>&#13;
<p>Рама граблей изготовлена из стального уголка 63 х 5 х 1480 мм. По всей ширине рамы установлено 18 пружин, диаметр которых 10 мм, а высота 600 мм. Расстояние между пружинами составляет 70 мм. Имеется прицепной узел и регулировочная тяга — талреп. Крепление рамы осуществляется к специальной прицепной рамке, которая имеет ответные крепежные пластины и сцепной узел (стандартный для мототракторов).</p>&#13;
<p>Также на грабли для мототрактора можно установить колеса.</p>&#13;
<p><strong>Принцип работы</strong></p>&#13;
<p>Грабли приводятся в действие в опущенном положении. Для подъема и опускания используется ручка заднего подъемного механизма мототрактора.</p>&#13;
<p><strong>Стандартная комплектация</strong></p>&#13;
<p>Прицепное устройство, талреп, пружины — 18 шт., рама — 1шт., колеса — 2 шт. Поставляются в разобранном виде.</p>&#13;
<p><strong>Технические параметры</strong></p>&#13;
<p>Вес 50,5 кг.</p>    </div>"
ГР3;Грабли Солнышко 2р. (ГР3);"<div id=""home"" class=""tab-pane fade in active"">
    <p><strong>Наименование в прайсе:</strong><em> Граблі механічні «Сонечко» - 2 р., ГР-3.</em></p>&#13;
<p>Грабли механические могут быть агрегатированы с мотоблоком или мототрактором. Для эксплуатации с мотоблоком необходим адаптер. Грабли используют для заготовки сена.</p>&#13;
<p><strong>Особенности конструкции</strong></p>&#13;
<p>Грабли состоят из рамы, прицепного узла и колес.</p>&#13;
<p>Рама граблей «Солнышко» изготовлена из профильной трубы с сечением 40 х 40 х 2 мм. Общая ширина захвата граблей составляет 1200 мм. На крайних точках рамы установлены ступицы, в каждой из них по два 206-х подшипника.</p>&#13;
<p>Прицепной узел сделан из профильной трубы с сечением 50 х 50 х 2 мм, имеет стандартную крепежную пластину для установки передней части сцепки, а также пружину, которая позволяет копировать рельеф.</p>&#13;
<p>Колесо представляет собой центральную пластину с отверстием под ступицу и обод со спицами. В колесе установлено 32 спицы диаметром 6 мм. Каждая спица соединена с центральной пластиной при помощи болтового соединения. Диаметр колеса составляет 1235 мм.</p>&#13;
<p>Рама предполагает такое размещение колес, при котором они перекрывают друг друга.</p>&#13;
<p><strong>Стандартная комплектация</strong></p>&#13;
<p>Прицепное устройство, рама, колесо — 2 шт. Грабли поставляют в частично разобранном виде.</p>&#13;
<p><strong>Технические параметры</strong></p>&#13;
<p>Вес 39 кг.</p>    </div>"
ГР4;Грабли Солнышко 3р. (ГР4);"<div id=""home"" class=""tab-pane fade in active"">
    <p><strong>Наименование в прайсе:</strong><em> Граблі механічні «Сонечко» - 3 р., ГР-4.</em></p>&#13;
<p>Грабли механические могут быть агрегатированы с мототрактором. Применение —  заготовка сена.</p>&#13;
<p><strong>Особенности конструкции</strong></p>&#13;
<p>Грабли состоят из рамы, прицепного узла и колес.</p>&#13;
<p>Рама граблей «Солнышко» изготовлена из профильной ДУ-36 и имеет две подвижные части (основная + подрамник). Общая ширина захвата граблей составляет 1800 мм. На крайних точках рамы установлены ступицы, в каждой из них по два 206-х подшипника.</p>&#13;
<p>Прицепной узел изготовлен из профильной трубы с сечением 50 х 50 х 2 мм, имеет стандартную крепежную пластину для установки передней части сцепки, а также две пружины, которые позволяют копировать рельеф. Передняя часть сцепки стандартная для мототракторов.</p>&#13;
<p>Колесо представляет собой центральную пластину с отверстием под ступицу и обод со спицами. В колесе установлено 32 спицы диаметром 6 мм. Каждая спица соединена с центральной пластиной при помощи болтового соединения. Диаметр колеса составляет 1235 мм.</p>&#13;
<p>Рама предполагает такое размещение колес, при котором они перекрывают друг друга.</p>&#13;
<p><strong>Стандартная комплектация</strong></p>&#13;
<p>Прицепное устройство, рама + подрамник, колесо — 3 шт. Грабли поставляются в частично разобранном виде.</p>&#13;
<p><strong>Технические параметры</strong></p>&#13;
<p>Вес 59,8 кг.</p>    </div>"
ГР5;Грабли механические «Солнышко» 3-р. (прицепное 3 точки) (ГР5);"<div id=""home"" class=""tab-pane fade in active"">
    <p><strong>Наименование в прайсе:</strong><em> Граблі механічні «Сонечко» 3-р. (причіпне 3 точки), ГР5.</em></p>&#13;
<p>Механические грабли «Солнышко» могут быть агрегатированы с тракторами и минитракторами. Грабли используются для заготовки сена.</p>&#13;
<p><strong>Особенности конструкции</strong></p>&#13;
<p>Грабли для минитрактора состоят из рамы, трехточечного прицепного узла и рабочих элементов колес.</p>&#13;
<p>Рама граблей «Солнышко» изготовлена из профильной ДУ-36 и имеет две подвижные части (основную + подрамник). Общая ширина захвата граблей составляет 1800 мм. На крайних точках рамы установлены ступицы. В каждую ступицу установлено два 206 подшипника. На ступицы крепятся рабочие элементы граблей – колеса.</p>&#13;
<p>Колесо состоит из центрального диска с отверстием под ступицу и обода со спицами. В колесе установлено 32 спицы, диаметром 6 мм. Каждая спица соединена с центральным диском при помощи болтового соединения. Диаметр колеса – 1235 мм.</p>&#13;
<p>Грабли оснащены трехточечным прицепным узлом. Конструкция прицепного с двухсторонними пальцами позволяет агрегатировать грабли с минитракторами типа Т-25 и тракторами типа Т-40. Также конструкция прицепного узла предусматривает наличие двух пружин, которые позволяют копировать рельеф.</p>&#13;
<p>Рама предполагает такое размещение колес, что они перекрывают друг друга.</p>&#13;
<p><strong>Стандартная комплектация</strong><strong>:</strong></p>&#13;
<ul>&#13;
<li>прицепное устройство на 3 точки;</li>&#13;
<li>рама + подрамник;</li>&#13;
<li>колесо – 3 шт.</li>&#13;
</ul>&#13;
<p>Грабли поставляются в частично разобранном виде.</p>&#13;
<p><strong>Технические параметры</strong></p>&#13;
<p>Вес – 65,8 кг.</p>    </div>"
