ПЛ2;"Плуг для мотокультиватора со съемным лемехом (ПЛ2) (захват 14,5 см)";"<div id=""home"" class=""tab-pane fade in active"">
    <p><strong>Наименование в прайсе:</strong><em> Плуг-2 (для мотокультиватора), ПЛ2.</em></p>&#13;
<p>Плуг ПЛ2 предназначен для использования с мотокультиваторами мощностью порядка 5 л.с. Плуг присоединяется к мотокультиватору при помощи регулировочной сцепки.</p>&#13;
<ol>&#13;
<li>Глубина вспашки: до 150 мм;</li>&#13;
<li>Ширина захвата плуга: 145 мм.</li>&#13;
</ol>&#13;
<p>Корпус плуга цельносварной, состоит из стойки, отвала с лемехом, полевой доски и распорки. Лемех съёмный, крепится к отвалу двумя винтами М10.</p>&#13;
<ol>&#13;
<li>Стойка выполнена из полосы 10х50х500 мм;</li>&#13;
<li>Лемех размером 5х70х225 мм, изготовлен из стали 45, проходит термообработку;</li>&#13;
<li>Полевая доска 8х40х420 мм;</li>&#13;
<li>Отвал имеет габариты 3х260х440 мм;</li>&#13;
<li>Вес плуга для мотокультиватора ПЛ2: 5,1 кг.</li>&#13;
</ol>    </div>"
ПЛ3;"Плуг для мотоблока со съемным лемехом (ПЛ3) (захват 17,5 см)";"<div id=""home"" class=""tab-pane fade in active"">
    <p style=""text-align: justify;""><strong>Наименование в прайсе:</strong><em> Плуг (для мотоблока), ПЛ3.</em></p>&#13;
<p style=""text-align: justify;"">Плуг для мотоблока ПЛ3 предназначен для использования с мотоблоками воздушного и водяного охлаждения от 6 л.с. Присоединение к мотоблоку осуществляется при помощи регулировочной сцепки. Глубина вспашки до 150 мм.</p>&#13;
<p style=""text-align: justify;"">Ширина захвата плуга для мотоблока ПЛ3 составляет 175 мм. Корпус плуга цельносварной, состоит из стойки, отвала с лемехом, полевой доски и распорки. Лемех съёмный, крепится к отвалу тремя винтами М10. </p>&#13;
<p style=""text-align: justify;"">Стойка крепления плуга выполнена из полосы 10х50х500 мм. Для удобства настройки плуга во время работы в стойке находятся регулировочные отверстия.</p>&#13;
<ol>&#13;
<li style=""text-align: justify;"">Отвал имеет размеры 3х250х520 мм.</li>&#13;
<li style=""text-align: justify;"">Лемех изготовлен из стали 45 термообработанный, его размеры 5х70х275 мм.</li>&#13;
<li style=""text-align: justify;"">Полевая доска 8х40х420 мм.</li>&#13;
<li style=""text-align: justify;"">Вес плуга для мотоблока ПЛ3: 6,3 кг.</li>&#13;
</ol>    </div>"
ПЛ4;Плуг мототракторный (ПЛ4) (захват 30 см);"<div id=""home"" class=""tab-pane fade in active"">
    <p style=""text-align: justify;""><strong>Наименование в прайсе:</strong><em> П</em><em>луг (для мототрактора), ПЛ4.</em></p>&#13;
<p style=""text-align: justify;"">Плуг ПЛ4 имеет классическую конструкцию предназначен для использования с мототракторами и тяжёлыми мотоблоками.</p>&#13;
<p style=""text-align: justify;"">Корпус плуга установлен на шарнирную раму, которая позволяет производить регулировку положения плуга относительно колеи с помощью талрепа. Угловое положение корпуса плуга выставляется с помощью регулировочного винта. Прицепное устройство стандартное для мотоблоков с водяным охлаждением и мототракторов изготовленных с помощью кит-набора.</p>&#13;
<p style=""text-align: justify;"">Лемех данного плуга выполнен из стали марки 45, проходит термическую обработку и имеет следующие размеры: 6*100*425 мм. Размеры полевой доски плуга для мототрактора ПЛ4 составляют 10х60х380 мм.</p>&#13;
<p style=""text-align: justify;"">Плуг имеет опорное колесо, с помощью которого можно регулировать глубину вспашки, максимальное значение которой составляет 200 мм. Ширина обработки почвы составляет 300 мм.</p>&#13;
<p style=""text-align: justify;"">Плуг для мототрактора имеет возможность установки дискового ножа. <span style=""color: #0000ff;""><strong><a style=""color: #0000ff;"" href=""/katalog/detali/plug-detali/diskovyj-nozh-rezak-dlya-pluga-pld2"" target=""_blank"" rel=""noopener noreferrer"">Дисковый нож</a></strong></span> двигается во время работы перед лемехом и подрезает верхний пласт почвы на глубину до 50 мм. Использование дискового ножа обеспечивает снижение тягового усилия.</p>&#13;
<p style=""text-align: justify;"">Вес плуга без дискового ножа составляет: 28 кг.</p>    </div>"
ПЛ5;"Плуг двухкорпусный для минитрактора (ПЛ5) (захват 51,5 см)";"<div id=""home"" class=""tab-pane fade in active"">
    <p style=""text-align: justify;""><strong>Наименование в прайсе:</strong><em> П</em><em>луг двухкорпусный (для минитрактора), ПЛ5.</em></p>&#13;
<p style=""text-align: justify;"">Плуг двухкорпусный для мини-трактора предназначен для агрегатирования с тракторами оснащёнными трёхточечной навесной системой.</p>&#13;
<p style=""text-align: justify;"">Плуг ПЛ5 в своей основе имеет треугольную раму с распоркой, обеспечивающую необходимую жёсткость. Корпуса плугов и опорное колесо присоединяются к раме с помощью разъёмных соединений, позволяющих перемещать узлы относительно рамы во время настройки. Максимальная глубина вспашки - 210 мм. Ширина захвата лемеха одного корпуса - 257 мм. Полная ширина захвата плуга — 515 мм.</p>&#13;
<p style=""text-align: justify;"">Плуг для минитрактора имеет трехточечное прицепное устройство. Настройка плуга осуществляется с помощью трёхточечной навесной системы  минитрактора.</p>&#13;
<p style=""text-align: justify;"">Рама плуга выполнена из профильной трубы 60х40х4 мм.</p>&#13;
<p style=""text-align: justify;"">Лемех изготовлен из стали марки 45, проходит термическую обработку. Его длина - 425 мм.</p>&#13;
<ol>&#13;
<li style=""text-align: justify;"">Длина корпуса плуга (от края лемеха до края отвала) составляет 800 мм;</li>&#13;
<li style=""text-align: justify;"">Высота корпуса плуга — 375 мм;</li>&#13;
<li style=""text-align: justify;"">Толщина стойки плуга 6 мм;</li>&#13;
<li style=""text-align: justify;"">Полевая доска выполнена из полосы 40х8 мм;</li>&#13;
<li style=""text-align: justify;"">Вес плуга для минитрактора - 69 кг.</li>&#13;
</ol>&#13;
<p>Габаритные размеры рамы плуга, данные для перевозки:<br>Длина: 1140 мм Ширина: 630 мм Высота: 380 мм</p>    </div>"
ПЛ6;Плуг для мототрактора с гидравликой (ПЛ6) (захват 25 см);"<div id=""home"" class=""tab-pane fade in active"">
    <p style=""text-align: justify;""><strong>Наименование в прайсе:</strong><em> П</em><em>луг (для мототрактора с гидравликой), ПЛ6</em></p>&#13;
<p style=""text-align: justify;"">Плуг ПЛ6 имеет классическую конструкцию. Предназначен для использования с заводскими мототракторами оснащёнными гидравлическим задним подъёмным механизмом.</p>&#13;
<p style=""text-align: justify;"">Корпус плуга установлен на шарнирную раму, которая позволяет производить регулировку положения плуга относительно колеи с помощью талрепа. Угловое положение плуга выставляется с помощью регулировочного винта на прицепном узле. Параметры прицепного узла стандартные для мотоблоков с двигателем водяного охлаждения и мототракторов.</p>&#13;
<p style=""text-align: justify;"">Лемех плуга ПЛ6 выполнен из стали марки 45, проходит термическую обработку, имеет толщину 6 мм. Рама плуга выполнена из стального профиля сечением 50х25х3 мм.</p>&#13;
<p style=""text-align: justify;"">Плуг комплектуется опорным колесом, при помощи которого выполняется регулировка глубины вспашки. Максимальная глубина вспашки 200 мм.</p>&#13;
<p style=""text-align: justify;"">Ширина захвата плуга ПЛ6 составляет 250 мм.</p>&#13;
<p style=""text-align: justify;"">Плуг для мототрактора с гидравликой имеет возможность установки дискового ножа. Дисковый нож двигается во время работы перед лемехом и подрезает верхний пласт почвы на глубину до 50 мм. Использование дискового ножа обеспечивает снижение тягового усилия.</p>&#13;
<p style=""text-align: justify;""><strong>Плуг имеет такой диапазон настроек:</strong></p>&#13;
<ol style=""text-align: justify;"">&#13;
<li>Регулировка угла наклона в продольном направлении - +/- 15ᵒ;</li>&#13;
<li>Регулировка угла наклона в поперечном направлении - +/- 15ᵒ;</li>&#13;
<li>Регулировка положения плуга относительно оси крепления - 0...170 мм;</li>&#13;
<li>Вес плуга без дискового ножа составляет 37 кг.</li>&#13;
</ol>    </div>"
ПЛ7;Плуг двухкорпусный для мототрактора (ПЛ7) (захват 30 см);"<div id=""home"" class=""tab-pane fade in active"">
    <p style=""text-align: justify;""><strong>Наименование в прайсе:</strong> <em>Плуг 2х корпусный (для мототрактора), ПЛ7</em></p>&#13;
<p style=""text-align: justify;"">Плуг ПЛ7 предназначен для использования с мототракторами.</p>&#13;
<p style=""text-align: justify;"">Основа двухкорпусного плуга для мототрактора - треугольная рама. На одной из граней рамы установлены кронштейны крепления корпусов. На противоположной грани установлен кронштейн крепления опорного колеса, с помощью которого осуществляется регулировка глубины вспашки. Максимальная глубина вспашки двухкорпусным плугом ПЛ7 - 150 мм. Ширина захвата плуга - 300 мм.</p>&#13;
<p style=""text-align: justify;"">Рама плуга для мототрактора изготовлена из стального профиля 40*40*3мм, оснащена двумя талрепами для регулировки положения плуга в продольной и поперечной плоскости.</p>&#13;
<p style=""text-align: justify;"">Для обеспечения нужной прочности стойка крепления корпуса выполнена из двух полос 10х50 мм. Отвал изготовлен из стали толщиной 4 мм. Полевая доска имеет размеры 8х40 мм. Толщина лемеха составляет 5мм. Лемех изготовлен из стали 45, термообработанный.</p>&#13;
<p style=""text-align: justify;"">Вес двухкорпусного плуга для мототрактора - 37,6 кг.</p>    </div>"
ПЛ8;"Плуг для мотоблока Zirka-61 (опорное колесо, длинная рама) (ПЛ8) (захват 20 см)";"<div id=""home"" class=""tab-pane fade in active"">
    <p style=""text-align: justify;""><strong>Наименование в прайсе</strong>: <em>Плуг для мотоблока Zirka-61 (опорне колесо, довга рама), ПЛ8</em></p>&#13;
<p style=""text-align: justify;"">Плуг ПЛ8 предназначен для использования с мотоблоками, оснащенными двигателем водяного охлаждения, мощностью от 8 л.с. Прицепной узел съемный, типа Zirka-61, стандартный для тяжелых мотоблоков.</p>&#13;
<p style=""text-align: justify;"">Плуг позволяет производить вспашку на глубину до 200 мм, с шириной захвата — 200 мм.</p>&#13;
<p style=""text-align: justify;"">Плуг для мотоблока, модель ПЛ8, изготовлен на базе удлиненной рамы. Рама в своей основе имеет подвижный параллелограмм, который позволяет смещать корпус плуга относительно оси мотоблока без изменения его углового положения с помощью регулировочной тяги.</p>&#13;
<p style=""text-align: justify;"">Положение корпуса плуга в поперечной плоскости регулируется с помощью пазов на задней части рамы. Лемех съемный, термообработанный, крепится к основанию корпуса плуга с помощью 3-х винтов.</p>&#13;
<ul style=""text-align: justify;"">&#13;
<li>Лемех изготовлен из стали 45, имеет изогнутою форму.</li>&#13;
<li>Длина — 330 мм, толщина — 5 мм.</li>&#13;
<li>Габаритные размеры полевой доски: длина — 420 мм, толщина — 8 мм.</li>&#13;
<li>Отвал съемный, присоединяется к основанию корпуса плуга на три винта.</li>&#13;
</ul>&#13;
<p style=""text-align: justify;"">Для изменения угла атаки корпус плуга крепится к раме на ось. Регулировка осуществляется с помощью винта.</p>&#13;
<p style=""text-align: justify;"">В комплект плуга ПЛ8 входит опорное колесо, предназначенное для регулировки глубины вспашки.</p>&#13;
<ul>&#13;
<li style=""text-align: justify;"">Вес: 25 кг</li>&#13;
</ul>    </div>"
ПЛ9;"Плуг для мотоблока Zirka-61 (опорное колесо, короткая рама) (ПЛ9) (захват 20 см)";"<div id=""home"" class=""tab-pane fade in active"">
    <p><strong>Наименование в прайсе:</strong> <em>Плуг для мотоблока Zirka-61 (опорне колесо, коротка рама), ПЛ9.</em></p>&#13;
<p>Плуг ПЛ9 предназначен для использования с мотоблоками, оснащенными двигателем водяного охлаждения, мощностью от 8 л.с. Прицепной узел съемный, типа Zirka-61, стандартный для тяжелых мотоблоков.</p>&#13;
<p>Плуг позволяет производить вспашку на глубину до 200 мм, с шириной захвата — 200 мм.</p>&#13;
<p>Плуг для мотоблока, модель ПЛ9, изготовлен на базе укороченной рамы. Рама в своей основе имеет подвижный параллелограмм, который позволяет смещать корпус плуга относительно оси мотоблока без изменения его углового положения с помощью регулировочной тяги.</p>&#13;
<p>Положение корпуса плуга в поперечной плоскости регулируется с помощью пазов на задней части рамы. Лемех съемный, термообработанный, крепится к основанию корпуса плуга с помощью 3-х винтов. Лемех изготовлен из стали 45, имеет изогнутою форму. Его длина — 330 мм, толщина — 5 мм.</p>&#13;
<p>Габаритные размеры полевой доски: длина — 420 мм, толщина — 8 мм.</p>&#13;
<p>Отвал съемный, присоединяется к основанию корпуса плуга на три винта.</p>&#13;
<p>Для изменения угла атаки корпус плуга крепится к раме на ось. Регулировка осуществляется с помощью винта.</p>&#13;
<p>В комплект плуга ПЛ9 входит опорное колесо, предназначенное для регулировки глубины вспашки.</p>&#13;
<p>Вес: 24 кг</p>    </div>"
ПЛ10;"Плуг для мотоблока Zirka-105 (опорное колесо, короткая рама), (ПЛ10) (захват 20 см)";"<div id=""home"" class=""tab-pane fade in active"">
    <p><strong>Наименование в прайсе:</strong> <em>Плуг для мотоблока Zirka-105 (опорне колесо, коротка рама), ПЛ10</em></p>&#13;
<p>Плуг ПЛ10 предназначен для использования с мотоблоками, оснащенными двигателем воздушного охлаждения, мощностью от 6 л.с. Прицепной узел — съемный, типа Zirka-105, стандартный для легких мотоблоков.</p>&#13;
<p>Плуг позволяет производить вспашку на глубину до 200 мм, с шириной захвата — 200 мм.</p>&#13;
<p>Плуг для мотоблока, модель ПЛ10, изготовлен на базе укороченной рамы. Рама в своей основе имеет подвижный параллелограмм, который позволяет смещать корпус плуга относительно оси мотоблока без изменения его углового положения с помощью регулировочной тяги.</p>&#13;
<p>Положение корпуса плуга в поперечной плоскости регулируется с помощью пазов на задней части рамы. Лемех съемный, термообработанный, крепится к основанию корпуса плуга с помощью 3-х винтов. Лемех изготовлен из стали 45, имеет изогнутою форму. Его длина — 300 мм, а толщина — 5 мм.</p>&#13;
<p>Габаритные размеры полевой доски: длина — 420 мм толщина — 8 мм.</p>&#13;
<p>Отвал несъемный, приварен к основанию корпуса.</p>&#13;
<p>Для изменения угла атаки корпус плуга крепится к раме на ось. Регулировка осуществляется с помощью винта.</p>&#13;
<p>В комплект плуга ПЛ10 входит опорное колесо, предназначенное для регулировки глубины вспашки.</p>&#13;
<p>Вес: 21 кг.</p>    </div>"
ПЛ11;"Плуг однокорпусный для минитрактора (опорное колесо, прицепное 3 точки), (ПЛ11) (захват 25 см)";"<div id=""home"" class=""tab-pane fade in active"">
    <p><strong>Наименование в прайсе:</strong> <em>Плуг однокорпусний для мінітрактора (опорне колесо, причіпне 3 точки), ПЛ11</em></p>&#13;
<div>Плуг однокорпусный ПЛ11 разработан для использования с мототракторами, дооснащенными трехточечной навесной системой нашего производства.</div>&#13;
<div> </div>&#13;
<div>Максимальная глубина вспашки плуга ПЛ11 — 200 мм. Ширина захвата — 250 мм.</div>&#13;
<div> </div>&#13;
<div>Элементы рамы плуга образуют единую конструкцию с трехточечным прицепным узлом. Трехточечный прицепной узел оснащен пальцами, диаметром 21 мм.</div>&#13;
<div> </div>&#13;
<div>Корпус плуга — съемный, крепится к раме на четыре шпильки.</div>&#13;
<div> </div>&#13;
<div>Плуг оснащен стальным опорным колесом со втулкой. Колесо крепится к раме с помощью регулируемого кронштейна.</div>&#13;
<div> </div>&#13;
<div>Лемех — съемный, изогнутый. Изготовлен из стали марки 45, проходит термическую обработку, кромка заточена. Длина лемеха — 425 мм, толщина — 6 мм.</div>&#13;
<div> </div>&#13;
<div>Съемный отвал, толщиной 6 мм, крепится к корпусу плуга на 3 винта.</div>&#13;
<div> </div>&#13;
<div>Полевая доска выполнена из стальной полосы, толщиной 8 мм. Длина полевой доски — 300 мм.</div>&#13;
<div> </div>&#13;
<div><strong>Габаритные размеры:</strong></div>&#13;
<ul style=""list-style-type: disc;"">&#13;
<li>длина плуга по крайним точкам составляет 931 мм;</li>&#13;
<li>высота плуга по крайним точкам составляет 757 мм;</li>&#13;
<li>ширина плуга по крайним точкам составляет 783 мм;</li>&#13;
</ul>&#13;
<div>Вес однокорпусного плуга для минитрактора — 35 кг.</div>    </div>"
